date,value,model,yhat_lower,yhat_upper
2025-09-23,199.22920000000005,RandomForest,,
2025-09-24,196.12467499999966,RandomForest,,
2025-09-25,202.16369999999984,RandomForest,,
2025-09-26,198.963475,RandomForest,,
2025-09-27,205.27879999999976,RandomForest,,
2025-09-28,193.55454999999992,RandomForest,,
2025-09-29,197.08602499999975,RandomForest,,
2025-09-30,197.27969999999962,RandomForest,,
2025-10-01,204.45367499999992,RandomForest,,
2025-10-02,208.99977500000023,RandomForest,,
2025-10-03,204.78674999999993,RandomForest,,
2025-10-04,201.21754999999982,RandomForest,,
2025-10-05,202.7510999999999,RandomForest,,
2025-10-06,200.1804249999997,RandomForest,,
2025-10-07,202.12764999999968,RandomForest,,
2025-10-08,208.77267500000045,RandomForest,,
2025-10-09,207.2156000000002,RandomForest,,
2025-10-10,208.26272500000007,RandomForest,,
2025-10-11,201.98687499999951,RandomForest,,
2025-10-12,201.97334999999993,RandomForest,,
2025-10-13,199.54652499999963,RandomForest,,
2025-10-14,207.5217499999999,RandomForest,,
2025-10-15,208.029425,RandomForest,,
2025-10-16,210.3069749999998,RandomForest,,
2025-10-17,206.34810000000016,RandomForest,,
2025-10-18,203.58102499999973,RandomForest,,
2025-10-19,201.2919999999997,RandomForest,,
2025-10-20,200.6541749999999,RandomForest,,
2025-10-21,207.18935,RandomForest,,
2025-10-22,207.59744999999995,RandomForest,,
2025-10-23,207.86540000000005,RandomForest,,
2025-10-24,207.86924999999988,RandomForest,,
2025-10-25,201.19044999999963,RandomForest,,
2025-10-26,201.78564999999972,RandomForest,,
2025-10-27,201.29749999999984,RandomForest,,
2025-10-28,208.76829999999998,RandomForest,,
2025-10-29,208.72420000000005,RandomForest,,
2025-10-30,213.0423249999996,RandomForest,,
2025-10-31,213.76997499999973,RandomForest,,
2025-11-01,205.5415999999996,RandomForest,,
2025-11-02,204.54277499999978,RandomForest,,
2025-11-03,204.48012499999976,RandomForest,,
2025-11-04,209.66950000000006,RandomForest,,
2025-11-05,208.7336500000001,RandomForest,,
2025-11-06,212.79622500000013,RandomForest,,
2025-11-07,210.67859999999993,RandomForest,,
2025-11-08,205.2970999999998,RandomForest,,
2025-11-09,201.5276749999998,RandomForest,,
2025-11-10,201.00397499999985,RandomForest,,
2025-11-11,207.5793500000001,RandomForest,,
2025-11-12,210.45630000000034,RandomForest,,
2025-11-13,212.05905000000007,RandomForest,,
2025-11-14,213.3740750000001,RandomForest,,
2025-11-15,205.06714999999994,RandomForest,,
2025-11-16,201.52229999999975,RandomForest,,
2025-11-17,200.7117499999999,RandomForest,,
2025-11-18,207.0970749999999,RandomForest,,
2025-11-19,210.87567500000006,RandomForest,,
2025-11-20,211.9560249999999,RandomForest,,
2025-11-21,213.23485,RandomForest,,
2025-11-22,205.4502749999999,RandomForest,,
2025-11-23,201.50837499999972,RandomForest,,
2025-11-24,201.71730000000002,RandomForest,,
2025-11-25,208.4779,RandomForest,,
2025-11-26,212.1825750000001,RandomForest,,
2025-11-27,214.21255000000005,RandomForest,,
2025-11-28,214.18612499999983,RandomForest,,
2025-11-29,204.97509999999963,RandomForest,,
2025-11-30,202.17762499999964,RandomForest,,
2025-12-01,202.71637499999986,RandomForest,,
2025-12-02,210.16982500000003,RandomForest,,
2025-12-03,213.08235000000005,RandomForest,,
2025-12-04,217.25257499999995,RandomForest,,
2025-12-05,215.65290000000007,RandomForest,,
2025-12-06,210.00917500000023,RandomForest,,
2025-12-07,207.56214999999986,RandomForest,,
2025-12-08,208.34657499999997,RandomForest,,
2025-12-09,210.82030000000006,RandomForest,,
2025-12-10,214.5011749999999,RandomForest,,
2025-12-11,216.23742499999992,RandomForest,,
2025-12-12,218.22607500000012,RandomForest,,
2025-12-13,212.1048250000001,RandomForest,,
2025-12-14,210.3969499999998,RandomForest,,
2025-12-15,209.71302499999987,RandomForest,,
2025-12-16,211.98452499999973,RandomForest,,
2025-12-17,215.4989249999998,RandomForest,,
2025-12-18,216.92524999999995,RandomForest,,
2025-12-19,219.84005000000008,RandomForest,,
2025-12-20,216.62125000000015,RandomForest,,
2025-12-21,213.0960749999999,RandomForest,,
